SalePrice,id
120129.31638285189,1461
153008.78931274876,1462
181999.67177216802,1463
195952.28499780284,1464
197477.8125872035,1465
171222.8437366318,1466
178212.01779580885,1467
161123.61215957563,1468
193898.47881496925,1469
119925.604789806,1470
189952.674571833,1471
97385.92416901977,1472
96173.51867350182,1473
146413.7626930895,1474
113408.51351352451,1475
363558.8419400451,1476
250762.12819425605,1477
294599.18152895477,1478
299293.44565708295,1479
474977.58803628694,1480
325368.5976020468,1481
210850.56526419765,1482
177057.7207100431,1483
162710.8451215373,1484
191473.76554705817,1485
193107.96177746542,1486
339866.0295461026,1487
238341.3353204839,1488
193749.61601752572,1489
231349.0620407488,1490
195044.07028414906,1491
92756.67611514177,1492
189749.5884392125,1493
299951.3792833907,1494
293285.5911212206,1495
235702.1576615435,1496
179388.32508260943,1497
167787.27829460753,1498
162374.42494971008,1499
152697.77495439677,1500
174507.69277533924,1501
145503.6506212222,1502
290290.22303373506,1503
242519.0337992157,1504
225593.9751779169,1505
188193.22519878772,1506
245834.5514780434,1507
202873.92776776507,1508
163898.0977788804,1509
143480.39546743783,1510
148092.67300571027,1511
175334.36311484524,1512
152363.35065623088,1513
155109.81990672945,1514
197374.40600365406,1515
157898.11081760898,1516
168347.7479253745,1517
132466.496844432,1518
209170.43080419523,1519
127540.30850578858,1520
130083.47515553552,1521
178496.1397739455,1522
110130.51159133477,1523
125686.44701638765,1524
120266.19747097132,1525
113488.37444080878,1526
107566.17450085806,1527
137378.3893469948,1528
149722.56499002723,1529
184338.36270192487,1530
105988.75185360089,1531
98505.57943429326,1532
142816.38267748785,1533
127215.27170736801,1534
147673.90202250815,1535
106379.11563719073,1536
64977.585968625084,1537
147236.9720549623,1538
191933.55837510555,1539
94263.45850341642,1540
138707.1051419694,1541
139649.24986487327,1542
189700.53751999213,1543
85068.0084813381,1544
115257.94054333364,1545
135137.91282301565,1546
127884.20576731049,1547
138708.24355731055,1548
119838.49286651284,1549
135618.02321826108,1550
108884.99981547272,1551
136390.98109602102,1552
148289.80774366995,1553
116891.82272110388,1554
160376.90131114144,1555
85485.17170699117,1556
105780.72011395861,1557
97580.45125685359,1558
63552.76802692346,1559
134335.2310040737,1560
129372.72588983353,1561
130057.34828423712,1562
117918.55506134818,1563
155071.55198099796,1564
150955.3407950724,1565
237772.53074719856,1566
76404.07502957848,1567
230818.44131562498,1568
127780.26853477283,1569
139167.54640386655,1570
123248.06659908096,1571
142090.06900251683,1572
236848.71671764113,1573
118411.16056849026,1574
228294.7333937121,1575
241692.83937702083,1576
182201.7596481072,1577
148720.33335049916,1578
144283.67460412002,1579
196843.92801768094,1580
153037.51734319574,1581
125687.59815299758,1582
295888.9571312975,1583
216154.1458681093,1584
136126.5245419615,1585
67143.73313938858,1586
104989.71874882655,1587
151179.16829745128,1588
96656.2164897681,1589
133891.40280903352,1590
92120.87031055184,1591
114189.88906279957,1592
127669.24235410182,1593
123646.96546166156,1594
107500.49085079688,1595
222575.4363111559,1596
193546.93965914924,1597
227982.70331666223,1598
172656.03043455433,1599
162810.3634734949,1600
68670.57817887765,1601
117135.40853671772,1602
71358.15862846222,1603
260213.98917750438,1604
243774.23195768538,1605
168701.87011358794,1606
173316.5115734691,1607
214614.0413639863,1608
185339.24789518566,1609
150446.69880184554,1610
138184.72480648351,1611
170111.59149848693,1612
161412.0306866152,1613
128011.21692279405,1614
93618.25419454864,1615
77864.51966472293,1616
95346.84585714228,1617
124769.08143316275,1618
140093.2709394208,1619
152267.550721141,1620
138619.24058028354,1621
141655.7119443922,1622
261268.10001323334,1623
209360.63951990465,1624
120859.60722550031,1625
170452.59591000917,1626
190582.20893444953,1627
280021.0948513829,1628
184313.188638687,1629
345037.4836673682,1630
230402.01030487774,1631
244459.26090129773,1632
174440.99603746395,1633
185156.2667620114,1634
176706.7483973536,1635
152578.34298140154,1636
199100.65915828626,1637
181426.71434846788,1638
190515.90016539762,1639
250882.9260563159,1640
183790.88245750172,1641
237825.81060509488,1642
216168.74043171667,1643
232651.6892808583,1644
196243.44301482616,1645
158437.26408653505,1646
162485.12081302618,1647
130092.84903816262,1648
138945.26242839964,1649
114357.95753029824,1650
120810.88854121086,1651
97580.96971348522,1652
99581.9201061019,1653
145872.11302769248,1654
138767.47796651232,1655
140735.73760323384,1656
